twitterHandle,walletAddress,quoteTweetLink,claimNumber,createdAt
"0x_zenox","0x85f7099C8EEe2Ebe8339ED9Ba126Da4d3b36171A","https://x.com/0x_Zenox/status/2095941951657038174?s=20","402","2026-09-04T18:29:11.000Z"
"0xalienpool","0xEa2c920ABFb760E70b7447AE828f33858b4D5979","https://x.com/0xAlienPool/status/2095057723790733191","","2026-09-04T21:14:09.000Z"
"0xamirrz","0x59BD76D1c7248fEC3A5E19A8e93AFcF47cfDd2aD","https://x.com/0xAmirRz/status/2095039303032905678","","2026-09-04T21:15:22.000Z"
"0xarees","0xee1d416fb9eb26eeaa639c40354d6f872a590be5","https://x.com/0xArees/status/2095895899625127988?s=20","296","2026-09-04T15:25:44.000Z"
"0xbale","0x04512CE7f95B827B4D5D3655762F93C3dc700561","https://x.com/0xbale/status/2095568588384805937","","2026-09-04T21:15:24.000Z"
"0xbuzor","0xf4c4bf02f4ae2efc0078d6c5a8c9aa45403a8225","https://x.com/0xBuzor/status/2095996172301148641","474","2026-09-04T22:04:57.000Z"
"0xdaddge21","0xdB97846dfF2329a0CbDE0FC0efe2A621dd6EfB1E","https://x.com/0xdaddge21/status/2095006504888749627","","2026-09-04T21:17:49.000Z"
"0xdigitz","0x1E9Ef6CA478B10d397BeC8cAf372b1C75830638E","https://x.com/0xdigitz/status/2095350660312258711","","2026-09-04T21:19:27.000Z"
"0xexa","0x00ac4fAEB13d9C71B92BaB350910E2F9F9B07BD5","https://x.com/0xExA/status/2095120797919289830","","2026-09-04T21:19:39.000Z"
"0xff","0x46aF23e6F3d11E1555a57223C9f8163F230CaAA0","https://x.com/0xff/status/2095035484110297700","","2026-09-04T21:14:42.000Z"
"0xfiktau89","0x9b7816f3eb2d35A24edD9BB4F33f05E9a2332494","https://x.com/0xfiktau89/status/2095892184201560212?s=20","281","2026-09-04T15:11:11.000Z"
"0xfin","0x0F47360c63E6145B62cBcC99522abB5db4cB0cce","https://x.com/0xFin/status/2095208724078026694","","2026-09-04T21:17:40.000Z"
"0xfunker","0xCD7c200De46B0565F3F8fDF3d1d69952a0ED68b9","https://x.com/0xFunker/status/2095044776290742663","","2026-09-04T21:18:18.000Z"
"0xgalxe","0xC24d1D0410eC8b8aB734DF62131443b237Be4dbb","https://x.com/0xGALxE/status/2095970796909740377","","2026-09-04T21:16:40.000Z"
"0xgream","0x11194fBe09AF0633D6a4455794b9E7c93FAef5D2","https://x.com/0xgream/status/2094938497878081929","","2026-09-04T21:16:59.000Z"
"0xhamza","0x300f4306E92F9599049cB51a710EC9b07016aF3b","https://x.com/0xhamza/status/2095929435303598409","","2026-09-04T21:19:12.000Z"
"0xhappy","0x08E266e80d362a5b083752d70E1D26E75e2730Af","https://x.com/0xhappy/status/2095680024530896491","","2026-09-04T21:14:29.000Z"
"0xho3ein","0x4f4f564b8b9b900ea9a28e4fc3a34df05a81d9bb","https://x.com/0xho3ein/status/2095270661765013299","","2026-09-04T21:18:48.000Z"
"0xhyde777","0xe1017d7a224d2a54c13e414054c46e1c5cfb0fbd","https://x.com/0xhyde777/status/2096054960014401896","508","2026-09-05T01:57:31.000Z"
"0xhyu","0x18667aF4567B889dAef34B9691E9b7651F595c39","https://x.com/0xhyu/status/2095881728607043802?s=20","243","2026-09-04T14:28:55.000Z"
"0xihor","0x72DB8030EC555CC1C61c60968a9Ee08ed3B452fd","https://x.com/0xIhor/status/2095647697538945563","","2026-09-04T21:20:58.000Z"
"0xinexplicable","0x2d1e98fcc4fd3f42a36834125bed07e56a39a9c8","https://x.com/0xInExplicAble/status/2095883288850080062","249","2026-09-04T14:35:21.000Z"
"0xjkair","0x47680Db32214fCd248e676E95A84FA764E4C5B8e","https://x.com/0xjkair/status/2095219634598733837","","2026-09-04T21:21:15.000Z"
"0xjoyboy","0x0865bE96A21422299A2042B2E0c43B2Ae2e71d21","https://x.com/0xjoyboy/status/2095121053163957476","","2026-09-04T21:16:48.000Z"
"0xkage","0x19f4f20df89fd2738438F2E71d9e1566bFf0BcA6","https://x.com/0xkage/status/2095388647550324554","","2026-09-04T21:16:04.000Z"
"0xkanata","0x5aDA89A6a533C22B35e1D2a4b66250c92a5CFb44","https://x.com/0xkanata/status/2095391002226772437","","2026-09-04T21:15:58.000Z"
"0xleo","0x77023877e231cd0d7ACA85c8652eD5826cabd223","https://x.com/0xLeo/status/2095783575313696786","","2026-09-04T21:16:05.000Z"
"0xmaduro","0x0d8b48ec28f27efb5c2a8bb928d139595f06158d","https://x.com/0xmaduro/status/2095880792765497711","307","2026-09-04T15:39:30.000Z"
"0xmihaiolteanu","0xEB6c74CF1FFa72BeB2973aF55e79a7a6AFBdf289","https://x.com/0xmihaiolteanu/status/2095027055616654319","","2026-09-04T21:16:30.000Z"
"0xmora","0x5aA1836d1b91C033Ae2fC75e95834c5ddE61B935","https://x.com/0xmora/status/2095668968482266310","","2026-09-04T21:14:19.000Z"
"0xmorteza","0x59597D621CB473F1e2169861F72231fc77A1A4e6","https://x.com/0xMorteza/status/2095732899226104031","","2026-09-04T21:21:15.000Z"
"0xnanu","0xD7C0b1B2197B7e2a6DA180758D02Bd02E77DadE2","https://x.com/0xnanu/status/2095868852492255320?s=20","225","2026-09-04T13:38:01.000Z"
"0xnobody","0x229be2Ee4399d973a48aE798c6a369D6f179D1A0","https://x.com/0xNoBody/status/2095002441249593623","","2026-09-04T21:14:10.000Z"
"0xobsessed","0x211265d71e2e153e21CAb0f2cAbb8eF1Cb4137C2","https://x.com/0xobsessed/status/2095839029241298029","","2026-09-04T21:19:39.000Z"
"0xobst","0xa4A6d51Ba93e07373374a888a910bB5973490c06","https://x.com/0xobst/status/2095073668244261147","","2026-09-04T21:20:10.000Z"
"0xpegasus","0x406Dbd77D3fc4b3e625aBd459e4829fF18BF8B29","https://x.com/0xpegasus/status/2095378495034077845","","2026-09-04T21:16:00.000Z"
"0xrahul","0xc5bf39881F7781f0B47E279Df50B630540F459E5","https://x.com/0xRahul/status/2094919167684708616","","2026-09-04T21:14:31.000Z"
"0xs1mo","0x23d914ab49f4a896ebc53ce3b36a89298de00a28","https://x.com/0xS1MO/status/2095986586991186077","456","2026-09-04T21:26:47.000Z"
"0xsend","0x7208AEe04Ec573f45a3bFa5C4F579D02636DF245","https://x.com/0xsend/status/2095589809430294009","","2026-09-04T21:19:09.000Z"
"0xseyed","0xD937fb18289787336d61902f0566ac3d2286facD","https://x.com/0xseyed/status/2094935277089077242","","2026-09-04T21:17:37.000Z"
"0xsriwijaya","0xEaA79a6585656AEc4F39E5c25be92111112f91d2","https://x.com/0xSriwijaya/status/2094949259378901204","","2026-09-04T21:20:00.000Z"
"0xsunshine31702","0xa82873be6c52374796cce133d550791a50bfcfab","https://x.com/Haunting_Hoods/status/2095895534615904498?s=20","527","2026-09-05T03:55:45.000Z"
"0xtapout","0x4A84b692f3DbD41e7ebA42aD6292C628d3D0293a","https://x.com/0xTapout/status/2095478737983561405","","2026-09-04T21:19:17.000Z"
"0xthor","0x7709827237dd1942f0DD307C1312D312Da1e0A8b","https://x.com/0xthor/status/2095109120887092868","","2026-09-04T21:21:36.000Z"
"0xvulture","0x8c658aaF1dECBcB16Ee8a630Dbd0F02f2620A283","https://x.com/0xvulture/status/2095861075978486075","","2026-09-04T21:15:01.000Z"
"0xxiaoxin","0x323Ba28636fCF86832d31E9eEcf8d5B6D6b93A9d","https://x.com/0xxiaoxin/status/2095317481317656710","","2026-09-04T21:16:01.000Z"
"0xxlowart","0x17c4a562f267752c1a36637685826ee2fa6cd6c4","https://x.com/0xXlowart/status/2095900579092672594","310","2026-09-04T15:44:03.000Z"
"0xzetton","0x626a96d2796aE29EC856bE33d0039AfFF308C9DA","https://x.com/0xZetton/status/2095040663489426707","","2026-09-04T21:16:48.000Z"
"0xzvan","0x0e34E11B5bfA202eF0e8605CD142D6Eaa03E944F","https://x.com/0xzvan/status/2095286464318427659","","2026-09-04T21:19:11.000Z"
"10xrusk","0xac32B80D78037A1aA6C2C1666f3B998A8819B391","https://x.com/10xRusk/status/2095365651968693824","","2026-09-04T21:14:44.000Z"
"12345555","0x80c6eC98a9942a29f16e07518F283A2F25DF109B","https://x.com/12345555/status/2095574731520158671","","2026-09-04T21:15:53.000Z"
"1234vbn","0xfc7Bb90D2cB25bCc39e4BaB2FceB4dF223c59121","https://x.com/1234vbn/status/2095761622861793716","","2026-09-04T21:21:37.000Z"
"1234wang","0xB19EA564E2B66D54Ac3e6DA6C5E2e96a8D201D3C","https://x.com/1234wang/status/2095666014393316180","","2026-09-04T21:21:04.000Z"
"124234","0xBDd72BF325D93FcD20E581C37062bBd1Dd23E392","https://x.com/124234/status/2095562727396678704","","2026-09-04T21:20:20.000Z"
"rimtoln","0x45dbfdff1e2107ccd09e5cb3ac6b60b0a33104fb","https://x.com/rimtoln/status/2023027605247553683","134","2026-09-04T10:35:07.000Z"
"1417x","0x412CAe1C1180cB794A2f74aB7e4875e78Dc5bF9e","https://x.com/1417x/status/2095862736896750465","","2026-09-04T21:20:23.000Z"
"14ec","0x0c13ADA3052189FE25cb3Af0c4BD9fE7E2CeDfBa","https://x.com/14ec/status/2095538707196931043","","2026-09-04T21:17:57.000Z"
"inott999","0xd1e7328c9ed05dc1bf052c519913d8beb330bd02","https://x.com/inott999/status/2095846702246924533?s=20","186","2026-09-04T12:12:45.000Z"
"anna73lf4","0x2A495d67E78e4117461FeEe73fC5DD49617d8a9b","https://x.com/anna73lf4/status/2094141454543749121","","2026-09-04T08:58:30.000Z"
"Want_whale","0x11544B46E1db22e6BEE93200f34822fe658Ef183","https://x.com/Want_whale/status/2095854417828253857","195","2026-09-04T12:40:33.000Z"
"eternal_0x","0xe68e5e3635bc6f8a55628eb50a5a4b00add7cbd4","https://x.com/eternal_0x/status/2095780966711300135?s=20","72","2026-09-04T07:48:45.000Z"
"AjaoMercy1","0xC147C093f6229Cd6Ae6f7FAa36030057ECFce316","","13","2026-09-03T22:26:32.000Z"
"rihan736","0x491f2e07531689734c03952a3f71a1bc3f9bde38","https://x.com/rihan736/status/2041845740570382753","143","2026-09-04T10:35:17.000Z"
"krasnovcrypto","0x46990902868181590b5d9fb4d743f442d2a3fc6e","https://x.com/krasnovcrypto/status/2029190319779024998","133","2026-09-04T10:35:06.000Z"
"alicharts","0x15f7aa51810a11d6d77754e4dcfbccfe9055070a","https://x.com/alicharts/status/2026899780052680892","126","2026-09-04T10:34:59.000Z"
"JoeNguyenl6xx","0x81228de3503727d64306195d5cC20407b6E50D27","https://x.com/JoeNguyenl6xx/status/2094534933958623233","","2026-09-04T08:58:59.000Z"
"KarenCarteorc6","0x6f11022167AB665EB37f046338cF9bfD0a585217","https://x.com/KarenCarteorc6/status/2092984460789153793","","2026-09-04T08:59:02.000Z"
"RandyTorre7jtr","0xbc130bFF3BF4CCcde390712DBfAbb4E5cE37fF3A","https://x.com/RandyTorre7jtr/status/2094522266292322305","","2026-09-04T08:58:57.000Z"
"1mdollar","0xb78BdfF3984FC7324cDFE5ddCA7F3c0061d24172","https://x.com/1Mdollar/status/2095548165086693051","","2026-09-04T21:20:56.000Z"
"1tfg","0x21c87F9b7d7321e3B3157305b2CF1A7263b951F6","https://x.com/1tfg/status/2095689708876164638","","2026-09-04T21:21:10.000Z"
"2005yasine","0x75eF3A97A909F90BC518d44eD6C1B89f16125265","https://x.com/2005Yasine/status/2095915294321439209","348","2026-09-04T16:42:27.000Z"
"20092014","0x8ff13c9d377695d8f2ecCcDF20f9738382610b2C","https://x.com/20092014/status/2095731546722648113","","2026-09-04T21:18:20.000Z"
"2068","0x8506d151b97b0e72763E9548f833D7f771bfcA64","https://x.com/2068/status/2095453007735869506","","2026-09-04T21:20:05.000Z"
"SoSoValueCrypto","0x397d7b9d88ee1fcad4586571ac2378e8b258062a","https://x.com/SoSoValueCrypto/status/2026119175849345128","138","2026-09-04T10:35:11.000Z"
"20wahyuw","0x0BB8133D5A19132A243AFEBAa7fc3680C94440e0","https://x.com/20Wahyuw/status/2096031236468961421","492","2026-09-05T00:23:16.000Z"
"220volt","0x8446C0267389E1b73209f0575F0F1E3390ff3d0f","https://x.com/220volt/status/2095068091625475429","","2026-09-04T21:21:34.000Z"
"cryptounfolded","0xb8c5a60a6dfdd39357eea3e4751b6a9cd149e4c3","https://x.com/cryptounfolded/status/2036149522116534435","139","2026-09-04T10:35:12.000Z"
"Zevweb3","0x1ce9f7ef217b5afc2dd017fe42f934dc05313354","https://x.com/Zevweb3/status/2026937959312986608","118","2026-09-04T10:34:51.000Z"
"24hlive","0x2Cf131c948ABbd9271F43C4da292cEd56B7Dd4f5","https://x.com/24hlive/status/2095570314151336987","","2026-09-04T21:19:55.000Z"
"jessica78ej0","0xb4A2DAa0b0Df2BEf6A5c83211d5cf442D944e87B","https://x.com/jessica78ej0/status/2092830830777860097","","2026-09-04T08:58:28.000Z"
"pete_rizzo_","0xb5e78d72480829ba80c10b9126ae57bf641af872","https://x.com/pete_rizzo_/status/2034214050251337834","149","2026-09-04T10:35:28.000Z"
"tienho_nyx","0x1e48c5fa8f76d21f4f88128d65d08acfad697997","https://x.com/tienho_nyx/status/2022501022548283637","150","2026-09-04T10:35:30.000Z"
"creepynads","0x4d835508e3b28f28237d5694d8d06f2596a5e39a","https://x.com/creepynads/status/2095847754899841183","187","2026-09-04T12:14:07.000Z"
"defi_monk","0x6f6c917e730336207260d8254366429cc1e948cb","https://x.com/defi_monk/status/1894795546193260768","153","2026-09-04T10:35:33.000Z"
"kathryn02tc4","0x9C3F79130f1749eE68d7228A3e09A6Ec7bea82c6","https://x.com/kathryn02tc4/status/2094785457144463361","","2026-09-04T08:58:19.000Z"
"wmougayar","0x439e68f2c878be4ebdf9cefb403fbf866c487efa","https://x.com/wmougayar/status/2005975908612440570","141","2026-09-04T10:35:14.000Z"
"0ximjoe","0x5d2af629013c6583e1069367b02127c0654809fd","https://x.com/0ximjoe/status/2024387280308510787","146","2026-09-04T10:35:23.000Z"
"MOEW_Agent","0xc785d6310b971acec5b396c8fdee6af7fc8be899","https://x.com/MOEW_Agent/status/1949753149050511672","153","2026-09-04T10:35:34.000Z"
"JessicaWhixvey","0x1206ae66191083D4e3561fd717Bc2Bf0F35dD46e","https://x.com/JessicaWhixvey/status/2094765132004458497","","2026-09-04T08:59:16.000Z"
"CryptoHayes","0x00c90e45c9dcd5a7880a63a19c422cc7034fc0f0","https://x.com/CryptoHayes/status/1803767642534051850","112","2026-09-04T10:34:45.000Z"
"3136","0x8ce1e69302085e466B4E3DA134ec04DFcb6657B2","https://x.com/3136/status/2095222206829053119","","2026-09-04T21:14:41.000Z"
"CryptoTony__","0xf10254ad491f2ba2c1c1c481235bb13152ea1109","https://x.com/CryptoTony__/status/1780141326115164380","114","2026-09-04T10:34:47.000Z"
"aeyakovenko","0xaf1dac99f889a3cc08b0f77ea72bd08c570ccd72","https://x.com/aeyakovenko/status/1906759256788156509","156","2026-09-04T10:35:39.000Z"
"TheSwingTraderr","0x13e7dea9a5e107caefa9a93b85c9834a032c4287","https://x.com/TheSwingTraderr/status/2037220008263115190","133","2026-09-04T10:35:06.000Z"
"381411","0x9594E9737f9b7836C7DA96B255d785C5eEe94Cf3","https://x.com/381411/status/2095140334548642412","","2026-09-04T21:19:36.000Z"
"38dd","0xF799c9aFf3E3a0fDD34bd5676Ee33169dD72C126","https://x.com/38dd/status/2095761169569548183","","2026-09-04T21:20:21.000Z"
"cryptooKaZ","0x2857cbb297a3aee5ad21902b109aebb1216f8727","https://x.com/cryptooKaZ/status/1908926148763074735","154","2026-09-04T10:35:35.000Z"
"brenda72yy1","0xD4a422944F0a791eee93B245366a8C9449aF7153","https://x.com/brenda72yy1/status/2095064497625497601","","2026-09-04T08:58:33.000Z"
"RonaldAndeojng","0xaaB7b2614e8F1b7499eD7ee132Df52DB8eC2C84A","https://x.com/RonaldAndeojng/status/2092909808372940801","","2026-09-04T08:59:22.000Z"
"sempak_kadal","0xefcd03be403684381ca721d6459d5ee6cc5ca957","https://x.com/sempak_kadal/status/2095842057319583929?s=20","180","2026-09-04T11:51:57.000Z"
"AmyPricesfxc","0xE448f02A6fFA838Ae38EA7c1b631c1cdD6AB1F8c","https://x.com/AmyPricesfxc/status/2092867741307371521","","2026-09-04T08:58:59.000Z"
"3antar","0xeFde1eF9dE10b03AF237Aa36d5c74511Da05DF62","https://x.com/3antar/status/2095336244873703746","","2026-09-04T21:21:37.000Z"
"IntelPocik","0xba8fe504b8687bc8cfce0dafba1c08c9afe004ae","https://x.com/IntelPocik/status/2029983074662994101","146","2026-09-04T10:35:24.000Z"
"StarPlatinum_","0x3688eaaf6b939f684aab7f5274c4b74281de5941","https://x.com/StarPlatinum_/status/2016186750314361034","144","2026-09-04T10:35:19.000Z"
"Solana_dailys","0x1cce66bc3417548e970dd3b161db30f6882d7f0b","https://x.com/Solana_dailys/status/2025001907887243386","153","2026-09-04T10:35:33.000Z"
"fitusedu","0x7a59228d862517884b66c4b26e3d6c6289f548ea","https://x.com/fitusedu/status/2095846805108080809?s=20","184","2026-09-04T12:10:25.000Z"
"linda29pj7","0x3C31C9f82f3474D4C8208dA32D5Beaf6067b62EA","https://x.com/linda29pj7/status/2094987827811975169","","2026-09-04T08:58:12.000Z"
"krystal02tc7","0x3E0Ef75e16657403b21A6914cE98A82a9C13fF8d","https://x.com/krystal02tc7/status/2093813126179848193","","2026-09-04T08:58:05.000Z"
"412120","0xCc4c088AFFA8Ee70272ac1d372A4a4D10d2E47Ff","https://x.com/412120/status/2095405509105799356","","2026-09-04T21:16:21.000Z"
"41angel","0x7B16eec464fd8ED6A237C739eaEFb530B65Eb5A5","https://x.com/41ANGEL/status/2095276216004942019","","2026-09-04T21:14:32.000Z"
"LeonWaidmann","0x17ffdee2c0e93ff6c563bdbaab86c5ffb12211d1","https://x.com/LeonWaidmann/status/1947332835095785735","142","2026-09-04T10:35:15.000Z"
"4844969","0x50491052D1250E27bC6CED2fb937A4FF1581B1fb","https://x.com/4844969/status/2095647793333816038","","2026-09-04T21:19:09.000Z"
"Crypto_Chase","0xd9a59ee59e0dbabc13c967492e00cb6375271c8b","https://x.com/Crypto_Chase/status/2018513521999565186","115","2026-09-04T10:34:48.000Z"
"RuthThompskhu8","0x13c2c5e531C68ff93fE6cAF8FB49d3582AE8d74d","https://x.com/RuthThompskhu8/status/2094004526301315073","","2026-09-04T08:58:48.000Z"
"AaronHernaylrs","0xb9aE9A8F007b1dcebcE9A075449aF3e7cA3819DE","https://x.com/AaronHernaylrs/status/2093656451615555585","","2026-09-04T08:58:55.000Z"
"Electronwebb","0xfdcbfC1Fd1b4814a1185a579CbCe2647Efb2eCbC","","2","2026-08-31T17:12:19.000Z"
"CryptoMikli","0x28318253d858292b3103482f2f93d46410e4ad2a","https://x.com/CryptoMikli/status/2024252131964858611","113","2026-09-04T10:34:46.000Z"
"NFT_bunk3r","0xef28714311c79f4ea9d33c4cc2ad2bd06e88b39a","https://x.com/NFT_bunk3r/status/2095737628545171774","48","2026-09-04T04:56:43.000Z"
"Coiner_0x","0x1d164aba26402136e4201bd560c2fea7bff16d3c","https://x.com/Coiner_0x/status/2037906780785611239","119","2026-09-04T10:34:52.000Z"
"AltcoinSherpa","0x602f79cb575a9172b3cf4993c6793bbfcb2b05ec","https://x.com/AltcoinSherpa/status/1909813288195608681","164","2026-09-04T10:35:48.000Z"
"fdoo7vkp","0xf19798cADb04eAe5c0ADe0dC3dBb9D207b4E7cc3","","20","2026-09-01T00:38:40.000Z"
"VitalikButerin","0x49116209fc046e062dcb5fd0250c73e9b8767622","https://x.com/VitalikButerin/status/1297896017468129281","122","2026-09-04T10:34:55.000Z"
"heisenwitcher_","0x1b9f3d3c2f4a6bc8c88b571356fd8a49dc776665","https://x.com/heisenwitcher_/status/2095802092719894903","85","2026-09-04T09:12:44.000Z"
"GeraltNinja","0x90e93e232AfE8654a8aD727B88DB4841a26B8b10","https://x.com/GeraltNinja/status/2095827797079896103?s=20","166","2026-09-04T10:54:49.000Z"
"telonex","0xd2baabfba49a2a4e2a2daa7f33c1e1686bdb4d4a","https://x.com/telonex/status/2022251717270573513","116","2026-09-04T10:34:49.000Z"
"5966","0xE6b42638C97fC0c809d980BB407c475D83c4be8a","https://x.com/5966/status/2095696190426388404","","2026-09-04T21:19:45.000Z"
"DangaWrites","0xbeff4b5c0d205c8d0a94d85703493dc973f59cd1","https://x.com/DangaWrites/status/2026292638773629177","124","2026-09-04T10:34:57.000Z"
"MomoAgentVP","0x09Bf43A3E52A0e4585bbC0409C9123dB584C01D1","https://x.com/chiquast/status/2095511146505838922","100","2026-09-04T10:04:13.000Z"
"cryptothedoggy","0x01bbbfba7ea2d409cfd5f1f3c42a2a4b1a4f3f87","https://x.com/cryptothedoggy/status/2016896123450114136","144","2026-09-04T10:35:19.000Z"
"theRealKiyosaki","0x103e8b1c3644b060b51d20e8461d574e0745c825","https://x.com/theRealKiyosaki/status/2034023953090678796","140","2026-09-04T10:35:13.000Z"
"mumo_mumo_","0xb4bd788a78a5ae40259ca6e58ce96b5b2623cc0e","https://x.com/mumo_mumo_/status/2042346265036443692","144","2026-09-04T10:35:19.000Z"
"ki_young_ju","0xb544f328dc5935712311e4568f770b204daef499","https://x.com/ki_young_ju/status/1909988756738015409","162","2026-09-04T10:35:46.000Z"
"sassal0x","0x23519a539b07fdf9a879e31959c0ff0d24ee3e0e","https://x.com/sassal0x/status/1910179734484218234","160","2026-09-04T10:35:43.000Z"
"openletteryt","0x304cf0bb8c1fb8be40fa84e433d090052f1c66b5","https://x.com/openletteryt/status/2026336283459830204","131","2026-09-04T10:35:04.000Z"
"rs1c2c4y","0xBAB3A5e210364CDe8c70B177FE3Ed035B3Ac80B7","","15","2026-09-01T00:38:40.000Z"
"6663","0xa40037B65e8C21F70964eF76984696740b8b56D1","https://x.com/6663/status/2095215536093349802","","2026-09-04T21:16:40.000Z"
"angela44aw9","0x5B367bF78B59aD26DC7F58105d64f2587565a5a2","https://x.com/angela44aw9/status/2094603605578350593","","2026-09-04T08:58:45.000Z"
"jennifer30jn1","0x9d7328B4708b143EF8A87345a2a1ae17127E0340","https://x.com/jennifer30jn1/status/2094967230017044481","","2026-09-04T08:58:41.000Z"
"Adeyanju1993","0x7193a075E6BbecbF7cd489D510697fE6163b9AD4","","14","2026-09-03T22:37:37.000Z"
"econoar","0x42f37566ae7169e76831e91458c898e84e808d91","https://x.com/econoar/status/1907915617278509095","160","2026-09-04T10:35:43.000Z"
"LouisHarrifgfa","0x20CB88dAeeDFB587dB1d46a1f8235a12D2357F5D","https://x.com/LouisHarrifgfa/status/2094762289981816833","","2026-09-04T08:59:03.000Z"
"Lolatoye1","0x91aa9ae6ed87b259189997ef0cda21cac0d2f74e","https://x.com/Lolatoye1/status/2012158547660882251","143","2026-09-04T10:35:17.000Z"
"robin18ag3","0x9dF675820512858fDb7721b0Bd8f8320b5b5e5d0","https://x.com/robin18ag3/status/2093325710377615361","","2026-09-04T08:58:19.000Z"
"Jonk_X28","0x1ea5460094e55907825f1cf2547fea3c9f36d813","https://x.com/Jonk_X28/status/2095799649122795857","82","2026-09-04T09:02:42.000Z"
"angrycryptoshow","0xd9d3d1a2d5110602172112d0313ea322954d93dc","https://x.com/angrycryptoshow/status/2032856801020985744","135","2026-09-04T10:35:08.000Z"
"PierreSamaties","0x873758249cfbaaeef490708cec772b1057d8829a","https://x.com/PierreSamaties/status/2012888736388788257","145","2026-09-04T10:35:21.000Z"
"carol47av8","0x767a744E8ab09230F192aA227da7234A6839E62F","https://x.com/carol47av8/status/2094639148911558657","","2026-09-04T08:58:03.000Z"
